target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
sleep_duration,tomorrow,evening,history_fingerprint_plus_today,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
sleep_duration,next_week,morning,calendar_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,morning,recent_history_only,11258,6531,605,605,0.3572727367753521,0.09475857802919696,0.6126388568117297
sleep_duration,next_week,morning,fingerprint_42d_only,11258,6531,605,605,0.41700891511138194,0.08967092638830898,0.654151318469537
sleep_duration,next_week,morning,today_partial_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,morning,history_plus_fingerprint,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_duration,next_week,morning,history_fingerprint_plus_today,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_duration,next_week,afternoon,calendar_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,afternoon,recent_history_only,11258,6531,605,605,0.3572727367753521,0.09475857802919696,0.6126388568117297
sleep_duration,next_week,afternoon,fingerprint_42d_only,11258,6531,605,605,0.41700891511138194,0.08967092638830898,0.654151318469537
sleep_duration,next_week,afternoon,today_partial_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,afternoon,history_plus_fingerprint,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_duration,next_week,afternoon,history_fingerprint_plus_today,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_duration,next_week,evening,calendar_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,evening,recent_history_only,11258,6531,605,605,0.3572727367753521,0.09475857802919696,0.6126388568117297
sleep_duration,next_week,evening,fingerprint_42d_only,11258,6531,605,605,0.41700891511138194,0.08967092638830898,0.654151318469537
sleep_duration,next_week,evening,today_partial_only,11258,6531,605,605,-0.026632092646911243,0.12161995676053731,0.050834766306441036
sleep_duration,next_week,evening,history_plus_fingerprint,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_duration,next_week,evening,history_fingerprint_plus_today,11258,6531,605,605,0.41525988197710106,0.09001504324612862,0.6538463157507183
sleep_in_bed,tomorrow,morning,calendar_only,11895,6871,620,620,-0.002501111351903118,0.31467020338922147,0.040628283067643906
sleep_in_bed,tomorrow,morning,recent_history_only,11895,6871,620,620,0.02109034124234388,0.3014558740426302,0.1552464221743626
